,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
lam[3114],-0.34,1.011,-2.074,1.237,0.01,0.011,9856.0,5244.0,1.0
lam[3115],-0.347,1.016,-1.946,1.401,0.01,0.011,9330.0,5475.0,1.0
lam[3116],-0.344,1.0,-1.986,1.285,0.01,0.01,9628.0,6350.0,1.0
lam[3117],-0.328,0.981,-1.955,1.284,0.01,0.01,9664.0,5909.0,1.0
lam[3118],-0.297,0.99,-1.908,1.351,0.01,0.011,9550.0,5817.0,1.0
lam[3119],-0.229,1.007,-1.935,1.371,0.01,0.011,9913.0,6170.0,1.0
lam[3120],-0.207,1.018,-1.82,1.519,0.01,0.012,10109.0,5797.0,1.0
lam[3121],-0.298,1.003,-1.943,1.355,0.01,0.012,9691.0,5505.0,1.0
lam[3122],-0.345,1.0,-2.02,1.268,0.01,0.011,9605.0,6216.0,1.0
lam[3123],-0.357,1.015,-2.041,1.278,0.01,0.011,9688.0,6246.0,1.0
lam[3124],-0.354,1.009,-1.97,1.307,0.01,0.011,9902.0,5866.0,1.0
lam[3125],-0.349,1.002,-2.021,1.26,0.01,0.011,10615.0,6063.0,1.0
lam[3126],-0.345,1.001,-1.981,1.31,0.01,0.011,10097.0,6299.0,1.0
lam[3127],-0.359,1.005,-2.062,1.225,0.01,0.01,9729.0,6498.0,1.0
lam[3128],-0.366,1.002,-2.057,1.245,0.01,0.01,9141.0,6152.0,1.0
lam[3129],-0.357,0.997,-1.938,1.321,0.011,0.01,8615.0,6304.0,1.0
lam[3130],-0.325,0.997,-1.931,1.322,0.01,0.011,9363.0,6029.0,1.0
lam[3131],-0.212,0.998,-1.853,1.436,0.01,0.012,9616.0,5658.0,1.0
lam[3132],0.104,0.986,-1.482,1.743,0.01,0.011,9272.0,6004.0,1.0
lam[3133],0.695,0.872,-0.688,2.21,0.009,0.008,10087.0,6149.0,1.0
lam[3134],1.242,0.715,0.04,2.358,0.006,0.005,13663.0,6228.0,1.0
lam[3135],1.375,0.757,0.161,2.636,0.007,0.006,11188.0,5708.0,1.0
lam[3136],1.332,0.814,0.074,2.744,0.008,0.006,9962.0,5862.0,1.0
lam[3137],1.394,0.789,0.065,2.605,0.008,0.006,10444.0,5937.0,1.0
lam[3138],1.484,0.787,0.25,2.827,0.008,0.006,10431.0,6355.0,1.0
