,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
f[Niger],-0.261,0.996,-1.998,1.304,0.013,0.018,6190.0,2777.0,1.0
f[Nigeria],1.908,0.355,1.311,2.479,0.005,0.004,5145.0,3191.0,1.0
f[Niue],-0.059,0.675,-1.188,1.024,0.009,0.011,6081.0,2911.0,1.0
f[Norfolk Island],-0.329,0.945,-1.924,1.203,0.011,0.016,7004.0,2866.0,1.0
f[North Korea],-0.439,0.949,-2.031,1.071,0.012,0.016,6183.0,2697.0,1.0
f[Northern Cyprus],-1.171,0.833,-2.634,0.034,0.015,0.011,3138.0,2327.0,1.0
f[Northern Mariana Islands],-0.282,0.701,-1.396,0.902,0.007,0.012,9079.0,2751.0,1.0
f[Norway],-0.47,0.953,-2.063,1.107,0.012,0.014,6160.0,2437.0,1.0
f[Oman],-0.463,0.96,-2.108,1.06,0.012,0.016,6569.0,2733.0,1.0
f[Pakistan],1.412,0.441,0.674,2.108,0.006,0.004,6578.0,3215.0,1.0
f[Palau],-0.088,0.704,-1.135,1.15,0.008,0.012,7637.0,2701.0,1.0
f[Palestina],-1.187,0.845,-2.511,0.171,0.015,0.011,3140.0,2064.0,1.0
f[Panama],0.716,0.499,-0.102,1.545,0.006,0.005,6420.0,3081.0,1.0
f[Papua New Guinea],-0.305,0.948,-1.932,1.194,0.011,0.017,8307.0,2392.0,1.0
f[Paracel Islands],0.026,0.929,-1.478,1.573,0.013,0.015,4888.0,3154.0,1.0
f[Paraguay],0.986,0.524,0.123,1.822,0.007,0.005,6720.0,2664.0,1.0
f[Peru],1.901,0.353,1.374,2.503,0.004,0.003,7266.0,3072.0,1.0
f[Philippines],2.633,0.259,2.23,3.07,0.003,0.002,8971.0,2655.0,1.0
f[Pitcairn Islands],-0.338,0.931,-1.858,1.197,0.011,0.017,7625.0,2913.0,1.0
f[Poland],-0.712,0.96,-2.261,0.868,0.015,0.014,3852.0,2370.0,1.0
f[Portugal],-0.51,0.965,-2.102,1.024,0.012,0.016,6825.0,2584.0,1.0
f[Puerto Rico],0.865,0.467,0.063,1.579,0.007,0.005,4695.0,3123.0,1.0
f[Qatar],-0.657,0.9,-2.101,0.852,0.012,0.012,6049.0,2482.0,1.0
f[Republic of Congo],-0.036,0.945,-1.481,1.65,0.013,0.016,5558.0,2844.0,1.0
f[Reunion],0.207,0.591,-0.72,1.176,0.008,0.009,5525.0,2734.0,1.0
f[Romania],-0.86,0.97,-2.487,0.703,0.018,0.014,3114.0,2313.0,1.0
f[Russia],-0.298,0.973,-1.779,1.419,0.012,0.017,6915.0,2939.0,1.0
f[Rwanda],-0.563,0.928,-2.023,1.006,0.012,0.014,5940.0,2590.0,1.0
f[Saint-Barthélemy],-0.481,0.561,-1.397,0.361,0.012,0.011,2413.0,1562.0,1.0
f[Saint-Martin],-0.43,0.546,-1.286,0.466,0.012,0.011,2187.0,1628.0,1.0
f[Saint Helena],-0.303,0.961,-1.848,1.285,0.011,0.017,8097.0,2870.0,1.0
f[Saint Kitts and Nevis],-0.397,0.524,-1.243,0.427,0.01,0.009,2902.0,2427.0,1.0
f[Saint Lucia],0.411,0.421,-0.267,1.083,0.007,0.005,3962.0,3155.0,1.0
f[Saint Pierre and Miquelon],-0.319,0.956,-1.873,1.263,0.011,0.016,7386.0,2756.0,1.0
f[Saint Vincent and the Grenadines],0.695,0.454,0.027,1.39,0.01,0.007,2767.0,1222.0,1.0
f[Samoa],-0.06,0.77,-1.288,1.216,0.01,0.014,6586.0,2969.0,1.0
f[San Marino],-1.199,0.897,-2.593,0.294,0.018,0.012,2691.0,2129.0,1.0
f[Sao Tome and Principe],-0.202,0.967,-1.777,1.392,0.012,0.017,6282.0,2581.0,1.0
f[Saudi Arabia],0.646,0.575,-0.285,1.566,0.007,0.006,6634.0,2841.0,1.0
f[Senegal],0.164,0.621,-0.846,1.156,0.008,0.01,6025.0,2847.0,1.0
f[Serbia],-1.323,0.902,-2.89,0.023,0.02,0.014,1993.0,2065.0,1.0
f[Seychelles],-0.323,0.88,-1.742,1.156,0.01,0.014,7775.0,2805.0,1.0
f[Sierra Leone],-0.475,0.819,-1.727,0.984,0.01,0.011,7026.0,3231.0,1.0
f[Singapore],0.537,0.571,-0.332,1.508,0.008,0.006,5907.0,3079.0,1.0
f[Sint Maarten],-0.422,0.543,-1.264,0.475,0.012,0.011,2162.0,1567.0,1.0
f[Slovakia],-1.019,0.94,-2.56,0.527,0.02,0.014,2305.0,2220.0,1.0
f[Slovenia],-1.28,0.921,-2.813,0.162,0.02,0.014,2271.0,2026.0,1.0
