,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
f_rotated_[Iceland],-0.304,0.939,-1.786,1.26,0.012,0.015,6731.0,2900.0,1.0
f_rotated_[India],2.019,0.334,1.462,2.54,0.004,0.003,7172.0,3305.0,1.0
f_rotated_[Indonesia],1.444,0.528,0.592,2.301,0.007,0.005,5276.0,2780.0,1.0
f_rotated_[Iran],-0.381,0.958,-1.903,1.251,0.011,0.015,7199.0,2908.0,1.0
f_rotated_[Iraq],-0.442,0.922,-1.967,1.091,0.011,0.014,7499.0,3030.0,1.0
f_rotated_[Ireland],-0.455,0.956,-2.16,0.974,0.012,0.015,6649.0,2315.0,1.0
f_rotated_[Isle of Man],-0.394,0.952,-2.045,1.115,0.01,0.015,8465.0,2350.0,1.0
f_rotated_[Israel],-0.551,0.907,-2.056,0.89,0.011,0.014,6826.0,2466.0,1.0
f_rotated_[Italy],-0.642,0.906,-2.102,0.848,0.01,0.012,7763.0,2932.0,1.0
f_rotated_[Jamaica],-0.224,0.782,-1.472,1.087,0.009,0.013,7252.0,3083.0,1.0
f_rotated_[Japan],-0.342,0.965,-2.069,1.081,0.011,0.017,8350.0,2677.0,1.0
f_rotated_[Jersey],-0.009,1.01,-1.693,1.596,0.011,0.018,8327.0,2906.0,1.0
f_rotated_[Jordan],-0.224,0.982,-1.87,1.369,0.011,0.017,7585.0,2895.0,1.0
f_rotated_[Kazakhstan],-0.359,0.945,-2.082,1.034,0.011,0.016,7336.0,2472.0,1.0
f_rotated_[Kenya],0.685,0.59,-0.294,1.616,0.007,0.006,6824.0,2576.0,1.0
f_rotated_[Kiribati],-0.299,0.975,-1.859,1.345,0.011,0.017,7271.0,2901.0,1.0
f_rotated_[Kosovo],-0.249,0.995,-1.905,1.346,0.013,0.017,5650.0,2844.0,1.0
f_rotated_[Kuwait],-0.124,0.973,-1.748,1.392,0.014,0.017,5123.0,2929.0,1.0
f_rotated_[Kyrgyzstan],-0.413,0.959,-1.882,1.243,0.011,0.019,8348.0,2071.0,1.0
f_rotated_[Laos],0.162,0.672,-0.883,1.304,0.011,0.011,3974.0,2870.0,1.0
f_rotated_[Latvia],-0.364,0.949,-1.906,1.135,0.011,0.016,7254.0,3061.0,1.0
f_rotated_[Lebanon],-0.163,0.975,-1.685,1.518,0.012,0.019,6549.0,2615.0,1.0
f_rotated_[Lesotho],-0.561,0.903,-2.04,0.851,0.011,0.014,6551.0,2816.0,1.0
f_rotated_[Liberia],-0.368,0.972,-1.928,1.262,0.011,0.016,7433.0,3019.0,1.0
f_rotated_[Libya],-0.328,0.971,-2.001,1.18,0.012,0.016,6804.0,2585.0,1.0
f_rotated_[Liechtenstein],-0.519,0.943,-2.121,0.964,0.012,0.015,6619.0,2783.0,1.0
f_rotated_[Lithuania],-0.159,0.983,-1.787,1.421,0.011,0.017,7540.0,2669.0,1.0
f_rotated_[Luxembourg],-0.061,1.002,-1.775,1.501,0.012,0.019,6867.0,2551.0,1.0
f_rotated_[Macao],0.028,1.003,-1.68,1.62,0.013,0.018,5827.0,2481.0,1.0
f_rotated_[Macedonia],0.102,0.989,-1.486,1.718,0.012,0.017,7269.0,2914.0,1.0
f_rotated_[Madagascar],0.331,0.647,-0.635,1.464,0.007,0.01,8733.0,2583.0,1.0
f_rotated_[Malawi],-0.306,0.96,-1.874,1.25,0.011,0.016,7445.0,3018.0,1.0
f_rotated_[Malaysia],0.953,0.515,0.072,1.747,0.007,0.005,5517.0,2770.0,1.0
f_rotated_[Maldives],-0.092,0.713,-1.235,1.083,0.009,0.012,7447.0,2747.0,1.0
f_rotated_[Mali],0.688,0.621,-0.271,1.728,0.008,0.008,6229.0,2867.0,1.0
f_rotated_[Malta],-0.361,0.956,-2.012,1.131,0.011,0.018,7184.0,2532.0,1.0
f_rotated_[Marshall Islands],0.332,0.631,-0.714,1.355,0.007,0.011,7698.0,2652.0,1.0
f_rotated_[Martinique],0.047,0.941,-1.581,1.543,0.011,0.016,7410.0,2952.0,1.0
f_rotated_[Mauritania],-0.441,0.948,-2.085,1.023,0.011,0.017,7196.0,2633.0,1.0
f_rotated_[Mauritius],0.581,0.543,-0.389,1.424,0.007,0.005,6696.0,2821.0,1.0
f_rotated_[Mayotte],0.008,0.962,-1.538,1.618,0.012,0.017,6332.0,3002.0,1.0
f_rotated_[Mexico],1.758,0.379,1.157,2.379,0.005,0.003,6703.0,2435.0,1.0
f_rotated_[Micronesia],-0.116,0.691,-1.226,0.992,0.008,0.012,7119.0,2827.0,1.0
f_rotated_[Moldova],-0.384,0.973,-1.913,1.257,0.012,0.015,6073.0,2727.0,1.0
f_rotated_[Monaco],-0.261,0.939,-1.834,1.222,0.011,0.017,7038.0,2696.0,1.0
f_rotated_[Mongolia],-0.327,0.937,-1.747,1.295,0.011,0.017,7862.0,2715.0,1.0
f_rotated_[Montenegro],-0.066,0.991,-1.746,1.466,0.013,0.019,5646.0,2698.0,1.0
f_rotated_[Montserrat],0.165,0.974,-1.43,1.723,0.013,0.016,5860.0,2764.0,1.0
f_rotated_[Morocco],-0.22,0.965,-1.761,1.435,0.011,0.017,7170.0,2555.0,1.0
f_rotated_[Mozambique],-0.119,0.742,-1.3,1.124,0.008,0.013,8838.0,2655.0,1.0
f_rotated_[Myanmar],0.329,0.634,-0.738,1.341,0.008,0.01,6651.0,2853.0,1.0
f_rotated_[Namibia],-0.292,0.955,-1.85,1.307,0.012,0.016,6397.0,2513.0,1.0
f_rotated_[Nauru],-0.313,0.969,-1.836,1.342,0.011,0.017,8057.0,2356.0,1.0
f_rotated_[Nepal],0.224,0.643,-0.806,1.249,0.009,0.011,5719.0,2232.0,1.0
f_rotated_[Netherlands],-0.117,0.994,-1.72,1.531,0.011,0.019,8288.0,2629.0,1.0
f_rotated_[New Caledonia],0.299,0.624,-0.698,1.323,0.008,0.01,6116.0,2767.0,1.0
f_rotated_[New Zealand],-0.323,0.971,-1.873,1.327,0.012,0.017,7268.0,2554.0,1.0
f_rotated_[Nicaragua],-0.049,0.855,-1.411,1.378,0.012,0.014,4989.0,3133.0,1.0
f_rotated_[Niger],-0.28,0.997,-1.969,1.326,0.013,0.018,6313.0,2790.0,1.0
f_rotated_[Nigeria],1.751,0.469,0.93,2.442,0.009,0.007,2776.0,2398.0,1.0
f_rotated_[Niue],-0.098,0.709,-1.195,1.094,0.01,0.012,5596.0,2660.0,1.0
f_rotated_[Norfolk Island],-0.341,0.947,-1.936,1.203,0.011,0.016,7042.0,2902.0,1.0
f_rotated_[North Korea],-0.439,0.949,-2.031,1.071,0.012,0.016,6179.0,2697.0,1.0
f_rotated_[Northern Cyprus],-0.15,0.983,-1.762,1.439,0.012,0.016,7094.0,3006.0,1.0
f_rotated_[Northern Mariana Islands],-0.004,0.973,-1.569,1.631,0.012,0.017,6826.0,3183.0,1.0
f_rotated_[Norway],-0.439,0.951,-1.985,1.158,0.012,0.014,6856.0,2600.0,1.0
f_rotated_[Oman],-0.433,0.962,-2.018,1.171,0.012,0.017,6649.0,2730.0,1.0
f_rotated_[Pakistan],1.452,0.475,0.654,2.229,0.006,0.004,5956.0,3112.0,1.0
f_rotated_[Palau],-0.086,0.705,-1.137,1.161,0.008,0.012,7638.0,2760.0,1.0
f_rotated_[Palestina],0.031,0.978,-1.578,1.573,0.012,0.018,7075.0,2845.0,1.0
f_rotated_[Panama],0.437,0.788,-0.785,1.705,0.011,0.011,5229.0,3156.0,1.0
f_rotated_[Papua New Guinea],-0.305,0.948,-1.932,1.194,0.011,0.017,8290.0,2392.0,1.0
f_rotated_[Paracel Islands],0.038,0.941,-1.585,1.501,0.013,0.016,5128.0,2657.0,1.0
f_rotated_[Paraguay],0.949,0.527,0.082,1.792,0.007,0.005,6415.0,2580.0,1.0
f_rotated_[Peru],1.885,0.36,1.315,2.467,0.004,0.003,7015.0,3073.0,1.0
f_rotated_[Philippines],2.638,0.261,2.242,3.095,0.003,0.002,8140.0,2517.0,1.0
f_rotated_[Pitcairn Islands],-0.338,0.931,-1.858,1.197,0.011,0.017,7625.0,2913.0,1.0
f_rotated_[Poland],-0.245,0.953,-1.784,1.357,0.01,0.019,8249.0,2467.0,1.0
f_rotated_[Portugal],-0.324,0.966,-1.934,1.222,0.01,0.016,8866.0,2795.0,1.0
f_rotated_[Puerto Rico],0.292,0.911,-1.175,1.766,0.012,0.015,5361.0,2857.0,1.0
f_rotated_[Qatar],-0.166,1.012,-1.879,1.443,0.012,0.016,7558.0,2792.0,1.0
f_rotated_[Republic of Congo],-0.302,0.988,-2.004,1.297,0.012,0.017,6891.0,2754.0,1.0
f_rotated_[Reunion],-0.298,0.789,-1.593,0.971,0.009,0.012,7075.0,3012.0,1.0
f_rotated_[Romania],-0.177,0.981,-1.722,1.429,0.012,0.017,7252.0,2638.0,1.0
f_rotated_[Russia],-0.298,0.973,-1.779,1.419,0.012,0.017,6915.0,2939.0,1.0
f_rotated_[Rwanda],-0.316,0.988,-1.869,1.432,0.013,0.016,6114.0,2832.0,1.0
f_rotated_[Saint-Barthélemy],0.147,1.033,-1.551,1.846,0.012,0.021,7465.0,2892.0,1.0
f_rotated_[Saint-Martin],0.125,0.991,-1.476,1.772,0.012,0.018,7326.0,2966.0,1.0
f_rotated_[Saint Helena],-0.303,0.961,-1.848,1.285,0.011,0.017,8097.0,2870.0,1.0
f_rotated_[Saint Kitts and Nevis],0.055,0.984,-1.672,1.563,0.013,0.018,6126.0,2636.0,1.0
f_rotated_[Saint Lucia],-0.146,0.968,-1.746,1.461,0.012,0.016,6199.0,2984.0,1.0
f_rotated_[Saint Pierre and Miquelon],-0.319,0.956,-1.873,1.263,0.011,0.016,7387.0,2756.0,1.0
f_rotated_[Saint Vincent and the Grenadines],-0.169,0.971,-1.748,1.456,0.012,0.016,6607.0,2624.0,1.0
f_rotated_[Samoa],-0.311,0.961,-1.815,1.289,0.011,0.015,7873.0,3181.0,1.0
f_rotated_[San Marino],-0.052,0.979,-1.637,1.5,0.012,0.019,7119.0,2465.0,1.0
f_rotated_[Sao Tome and Principe],-0.3,0.969,-1.89,1.3,0.011,0.016,7079.0,2736.0,1.0
f_rotated_[Saudi Arabia],0.767,0.606,-0.287,1.702,0.008,0.006,5930.0,2855.0,1.0
f_rotated_[Senegal],0.13,0.963,-1.475,1.662,0.012,0.016,6117.0,3013.0,1.0
f_rotated_[Serbia],-0.06,0.995,-1.754,1.523,0.012,0.018,7110.0,2845.0,1.0
f_rotated_[Seychelles],-0.265,0.972,-1.878,1.345,0.011,0.018,7551.0,2745.0,1.0
f_rotated_[Sierra Leone],-0.179,0.963,-1.741,1.382,0.011,0.017,7796.0,2829.0,1.0
f_rotated_[Singapore],0.008,0.717,-1.126,1.196,0.01,0.012,5014.0,2993.0,1.0
f_rotated_[Sint Maarten],0.027,0.995,-1.617,1.641,0.012,0.02,7297.0,2567.0,1.0
f_rotated_[Slovakia],-0.097,0.959,-1.736,1.506,0.012,0.017,6621.0,2667.0,1.0
f_rotated_[Slovenia],-0.046,1.0,-1.711,1.552,0.012,0.018,7376.0,3086.0,1.0
f_rotated_[Solomon Islands],-0.322,0.974,-2.012,1.2,0.012,0.017,7223.0,2971.0,1.0
f_rotated_[Somalia],0.325,0.632,-0.693,1.336,0.008,0.009,7188.0,2735.0,1.0
f_rotated_[South Africa],-0.146,0.955,-1.663,1.441,0.011,0.018,7787.0,2750.0,1.0
f_rotated_[South Georgia and the South Sandwich Islands],-0.326,0.946,-1.861,1.242,0.011,0.016,6872.0,2609.0,1.0
f_rotated_[South Korea],-0.276,0.958,-1.863,1.344,0.01,0.017,8447.0,2590.0,1.0
f_rotated_[South Sudan],-0.282,0.944,-1.851,1.258,0.011,0.015,7443.0,3062.0,1.0
f_rotated_[Spain],-0.263,0.947,-1.718,1.338,0.011,0.018,7641.0,2370.0,1.0
f_rotated_[Spratly islands],-0.342,0.967,-1.906,1.252,0.011,0.016,7864.0,2948.0,1.0
f_rotated_[Sri Lanka],0.327,0.613,-0.66,1.297,0.007,0.009,7813.0,3032.0,1.0
f_rotated_[Sudan],1.005,0.524,0.241,1.94,0.007,0.005,6744.0,2692.0,1.0
f_rotated_[Suriname],-0.252,0.971,-1.747,1.455,0.01,0.017,8585.0,2965.0,1.0
f_rotated_[Svalbard and Jan Mayen],-0.311,0.983,-1.977,1.215,0.012,0.021,6632.0,2477.0,1.0
f_rotated_[Swaziland],-0.294,0.992,-1.875,1.366,0.011,0.018,7563.0,2665.0,1.0
f_rotated_[Sweden],-0.237,0.954,-1.869,1.252,0.011,0.018,8011.0,2539.0,1.0
f_rotated_[Switzerland],-0.084,1.013,-1.757,1.576,0.011,0.02,8082.0,2704.0,1.0
f_rotated_[Syria],-0.168,0.979,-1.798,1.398,0.011,0.017,7818.0,2847.0,1.0
f_rotated_[Taiwan],-0.3,0.997,-2.005,1.31,0.011,0.017,8733.0,2586.0,1.0
f_rotated_[Tajikistan],-0.304,0.999,-1.93,1.322,0.011,0.016,8062.0,2946.0,1.0
f_rotated_[Tanzania],0.356,0.695,-0.834,1.458,0.009,0.01,6483.0,3115.0,1.0
f_rotated_[Thailand],0.979,0.642,-0.027,2.055,0.011,0.008,3553.0,2443.0,1.0
f_rotated_[Timor-Leste],-0.114,0.714,-1.266,1.057,0.009,0.014,7833.0,2555.0,1.0
f_rotated_[Togo],-0.091,0.972,-1.624,1.542,0.011,0.016,8052.0,3140.0,1.0
f_rotated_[Tokelau],-0.295,0.975,-1.918,1.29,0.011,0.016,7587.0,2678.0,1.0
f_rotated_[Tonga],-0.097,0.73,-1.293,1.031,0.01,0.013,6119.0,2935.0,1.0
f_rotated_[Trinidad and Tobago],-0.001,0.927,-1.494,1.541,0.012,0.016,6241.0,3097.0,1.0
f_rotated_[Tunisia],-0.3,0.948,-1.807,1.301,0.011,0.017,8122.0,2649.0,1.0
f_rotated_[Turkey],-0.208,0.975,-1.921,1.26,0.01,0.017,9291.0,2813.0,1.0
f_rotated_[Turkmenistan],-0.381,0.97,-1.921,1.195,0.012,0.017,6938.0,2614.0,1.0
f_rotated_[Turks and Caicos Islands],-0.27,0.79,-1.607,0.985,0.01,0.013,6747.0,2946.0,1.0
f_rotated_[Tuvalu],-0.338,0.948,-1.882,1.214,0.011,0.016,8066.0,2690.0,1.0
f_rotated_[Uganda],-0.275,0.983,-1.983,1.255,0.011,0.017,8697.0,2774.0,1.0
f_rotated_[Ukraine],-0.286,0.959,-1.862,1.252,0.011,0.016,8145.0,2556.0,1.0
f_rotated_[United Arab Emirates],-0.232,0.972,-1.892,1.288,0.011,0.017,8146.0,2884.0,1.0
f_rotated_[United Kingdom],-0.21,1.002,-1.806,1.446,0.011,0.019,7672.0,2799.0,1.0
f_rotated_[United States Minor Outlying Islands],-0.349,0.968,-1.923,1.268,0.012,0.015,6850.0,3008.0,1.0
f_rotated_[United States],0.316,0.64,-0.71,1.361,0.007,0.009,8481.0,2794.0,1.0
f_rotated_[Uruguay],-0.305,0.977,-1.918,1.327,0.012,0.018,7290.0,2648.0,1.0
f_rotated_[Uzbekistan],-0.294,0.937,-1.887,1.256,0.01,0.016,8429.0,2715.0,1.0
f_rotated_[Vanuatu],-0.175,0.737,-1.366,1.021,0.009,0.013,7585.0,2766.0,1.0
f_rotated_[Vatican City],-0.032,1.016,-1.795,1.543,0.012,0.018,6975.0,3069.0,1.0
f_rotated_[Venezuela],1.048,0.587,0.085,2.0,0.01,0.007,3543.0,2730.0,1.0
f_rotated_[Vietnam],1.439,0.655,0.295,2.443,0.01,0.007,4674.0,2592.0,1.0
"f_rotated_[Virgin Islands, U.S.]",0.139,1.009,-1.537,1.776,0.013,0.017,6352.0,2870.0,1.0
f_rotated_[Wallis and Futuna],-0.1,0.734,-1.279,1.074,0.009,0.011,6219.0,3190.0,1.0
f_rotated_[Western Sahara],-0.28,0.97,-1.866,1.345,0.011,0.017,7223.0,2841.0,1.0
f_rotated_[Yemen],0.962,0.547,0.104,1.883,0.007,0.005,6270.0,2532.0,1.0
f_rotated_[Zambia],-0.341,0.961,-1.893,1.278,0.01,0.016,8554.0,2784.0,1.0
f_rotated_[Zimbabwe],-0.295,0.983,-1.998,1.275,0.01,0.019,9127.0,2879.0,1.0
s,2.933,0.935,1.43,4.501,0.043,0.031,509.0,383.0,1.0
a,0.699,0.063,0.603,0.809,0.002,0.001,1702.0,2840.0,1.0
f[Afghanistan],-0.163,0.969,-1.66,1.511,0.012,0.017,6984.0,2891.0,1.0
f[Akrotiri and Dhekelia],-1.201,0.827,-2.595,0.067,0.014,0.01,3425.0,2609.0,1.0
f[Åland],-0.527,0.961,-2.092,1.084,0.014,0.015,4640.0,2522.0,1.0
f[Albania],-1.22,0.846,-2.54,0.228,0.017,0.012,2609.0,2017.0,1.0
f[Algeria],-0.349,0.994,-2.015,1.268,0.012,0.016,7347.0,2610.0,1.0
f[American Samoa],0.156,0.655,-0.949,1.2,0.009,0.012,5940.0,2650.0,1.0
f[Andorra],-0.56,0.952,-2.249,0.893,0.013,0.013,5173.0,2814.0,1.0
f[Angola],-0.339,0.977,-1.949,1.27,0.012,0.017,6772.0,2788.0,1.0
f[Anguilla],-0.445,0.553,-1.273,0.509,0.012,0.011,2362.0,1735.0,1.0
f[Antigua and Barbuda],-0.528,0.537,-1.426,0.32,0.008,0.007,4688.0,2871.0,1.0
f[Argentina],0.991,0.515,0.153,1.824,0.006,0.005,6984.0,2694.0,1.0
f[Armenia],-0.733,0.949,-2.179,0.894,0.013,0.014,5604.0,2745.0,1.0
f[Aruba],-0.113,0.616,-1.095,0.876,0.008,0.013,6173.0,2521.0,1.0
f[Australia],0.984,0.523,0.152,1.839,0.007,0.005,7109.0,2356.0,1.0
f[Austria],-1.171,0.926,-2.669,0.295,0.02,0.014,2330.0,1795.0,1.0
f[Azerbaijan],-0.72,0.948,-2.279,0.79,0.013,0.014,5238.0,2261.0,1.0
f[Bahamas],0.601,0.561,-0.321,1.493,0.009,0.006,4365.0,2945.0,1.0
f[Bahrain],-0.646,0.895,-2.135,0.776,0.011,0.012,6200.0,2629.0,1.0
f[Bangladesh],0.323,0.602,-0.652,1.286,0.007,0.008,7653.0,2989.0,1.0
f[Barbados],0.27,0.537,-0.597,1.123,0.01,0.007,3521.0,2034.0,1.0
f[Belarus],-0.593,0.965,-2.242,0.953,0.013,0.014,5648.0,2844.0,1.0
f[Belgium],-0.981,0.914,-2.58,0.417,0.016,0.012,3151.0,2165.0,1.0
f[Belize],0.343,0.57,-0.559,1.296,0.007,0.008,5954.0,2906.0,1.0
f[Benin],-0.269,0.859,-1.722,1.076,0.013,0.013,4286.0,2566.0,1.0
f[Bermuda],-0.328,0.956,-1.86,1.314,0.011,0.016,7248.0,2986.0,1.0
f[Bhutan],-0.035,0.688,-1.28,0.966,0.008,0.012,7114.0,2835.0,1.0
f[Bolivia],0.993,0.52,0.178,1.86,0.007,0.005,6584.0,2473.0,1.0
"f[Bonaire, Saint Eustatius and Saba]",0.006,0.688,-1.043,1.185,0.013,0.013,3103.0,2314.0,1.0
f[Bosnia and Herzegovina],-1.329,0.951,-2.723,0.403,0.021,0.015,2098.0,2259.0,1.0
f[Botswana],-0.473,0.966,-2.1,1.029,0.013,0.016,5933.0,2602.0,1.0
f[Bouvet Island],-0.325,1.002,-2.021,1.272,0.012,0.016,7793.0,2647.0,1.0
f[Brazil],3.887,0.14,3.658,4.121,0.001,0.001,8779.0,2935.0,1.0
f[British Indian Ocean Territory],-0.345,0.935,-1.882,1.172,0.011,0.016,7446.0,2576.0,1.0
f[British Virgin Islands],0.056,0.493,-0.702,0.856,0.008,0.01,4248.0,2315.0,1.0
f[Brunei],0.063,0.95,-1.597,1.563,0.014,0.015,4447.0,3035.0,1.0
f[Bulgaria],-0.817,0.963,-2.408,0.801,0.016,0.014,3796.0,2774.0,1.0
f[Burkina Faso],-0.116,0.685,-1.267,0.954,0.009,0.011,6382.0,2895.0,1.0
f[Burundi],-0.501,0.929,-1.946,1.09,0.012,0.014,6035.0,2530.0,1.0
f[Cambodia],0.414,0.658,-0.604,1.511,0.016,0.011,1876.0,2228.0,1.0
f[Cameroon],1.475,0.422,0.785,2.161,0.006,0.004,6160.0,2716.0,1.0
f[Canada],-0.321,1.023,-2.045,1.331,0.011,0.017,8559.0,2782.0,1.0
f[Cape Verde],2.137,0.322,1.609,2.659,0.004,0.003,6582.0,2691.0,1.0
f[Caspian Sea],-0.553,0.943,-2.175,0.925,0.012,0.015,6381.0,2461.0,1.0
f[Cayman Islands],0.145,0.654,-0.857,1.267,0.01,0.01,4103.0,2593.0,1.0
f[Central African Republic],-0.243,0.967,-1.777,1.381,0.012,0.017,6871.0,2479.0,1.0
f[Chad],-0.104,0.718,-1.351,0.995,0.009,0.013,7093.0,2479.0,1.0
f[Chile],-0.095,0.739,-1.353,1.07,0.009,0.013,7672.0,2658.0,1.0
f[China],0.682,0.571,-0.232,1.641,0.007,0.005,7277.0,2610.0,1.0
f[Christmas Island],-0.322,0.957,-1.892,1.27,0.011,0.017,7520.0,2486.0,1.0
f[Clipperton Island],-0.319,0.967,-2.006,1.111,0.011,0.016,7835.0,2635.0,1.0
f[Cocos Islands],-0.303,0.971,-1.915,1.217,0.012,0.017,7237.0,2631.0,1.0
f[Colombia],1.002,0.493,0.168,1.759,0.006,0.004,8255.0,2609.0,1.0
f[Comoros],-0.175,0.639,-1.207,0.886,0.008,0.01,6288.0,2830.0,1.0
f[Cook Islands],0.33,0.625,-0.643,1.316,0.007,0.01,7346.0,2717.0,1.0
f[Costa Rica],0.567,0.528,-0.303,1.407,0.008,0.006,5226.0,3210.0,1.0
f[Côte d'Ivoire],-0.183,0.689,-1.313,0.922,0.009,0.011,6002.0,2939.0,1.0
f[Croatia],-1.309,0.946,-2.868,0.203,0.02,0.014,2250.0,2039.0,1.0
f[Cuba],1.086,0.465,0.379,1.906,0.007,0.005,3988.0,2991.0,1.0
f[Curaçao],-0.077,0.61,-1.032,0.973,0.009,0.011,4844.0,2405.0,1.0
f[Cyprus],-1.098,0.858,-2.535,0.266,0.014,0.011,3843.0,2867.0,1.0
f[Czech Republic],-0.95,0.95,-2.528,0.553,0.016,0.013,3417.0,2643.0,1.0
f[Democratic Republic of the Congo],0.284,0.64,-0.778,1.316,0.008,0.01,6527.0,2730.0,1.0
f[Denmark],-0.508,0.965,-2.074,1.132,0.013,0.015,5500.0,2602.0,1.0
f[Djibouti],-0.066,0.665,-1.174,0.981,0.009,0.011,5898.0,2875.0,1.0
f[Dominican Republic],0.891,0.449,0.211,1.691,0.006,0.005,5332.0,3577.0,1.0
f[Dominica],-0.083,0.488,-0.816,0.731,0.007,0.008,5290.0,3296.0,1.0
f[Ecuador],0.397,0.622,-0.57,1.457,0.007,0.008,7617.0,3210.0,1.0
f[Egypt],-0.379,0.994,-1.987,1.264,0.012,0.017,7262.0,2467.0,1.0
f[El Salvador],0.406,0.505,-0.425,1.223,0.007,0.006,5941.0,3301.0,1.0
f[Equatorial Guinea],0.245,0.927,-1.152,1.912,0.017,0.014,2875.0,2515.0,1.0
f[Eritrea],-0.296,0.919,-1.851,1.156,0.013,0.014,5381.0,2900.0,1.0
f[Estonia],-0.738,0.902,-2.134,0.799,0.013,0.012,4894.0,3076.0,1.0
f[Ethiopia],-0.142,0.708,-1.228,1.102,0.008,0.012,8061.0,2690.0,1.0
f[Falkland Islands],-0.332,0.949,-1.852,1.238,0.011,0.016,6971.0,2745.0,1.0
f[Faroe Islands],-0.336,0.945,-1.889,1.182,0.012,0.017,5908.0,2365.0,1.0
f[Fiji],0.691,0.567,-0.195,1.654,0.007,0.006,6734.0,2964.0,1.0
f[Finland],-0.381,0.971,-1.953,1.179,0.011,0.017,7476.0,2650.0,1.0
f[France],-0.768,1.007,-2.451,0.885,0.015,0.015,4662.0,2845.0,1.0
f[French Guiana],0.24,0.638,-0.781,1.32,0.008,0.009,6969.0,2980.0,1.0
f[French Polynesia],0.684,0.562,-0.187,1.604,0.007,0.005,8274.0,3022.0,1.0
f[French Southern Territories],-0.422,0.945,-1.986,1.075,0.01,0.02,8270.0,2233.0,1.0
f[Gabon],0.567,0.617,-0.454,1.568,0.008,0.008,6068.0,2897.0,1.0
f[Gambia],0.041,0.63,-1.026,1.007,0.01,0.012,3821.0,2516.0,1.0
f[Georgia],-0.616,0.924,-2.11,0.921,0.012,0.012,6194.0,2862.0,1.0
f[Germany],-0.837,0.966,-2.384,0.737,0.016,0.015,3611.0,2765.0,1.0
f[Ghana],-0.301,0.701,-1.478,0.843,0.009,0.01,6694.0,3126.0,1.0
f[Gibraltar],-0.624,0.962,-2.295,0.849,0.014,0.015,4555.0,2489.0,1.0
f[Greece],-0.819,0.924,-2.265,0.796,0.015,0.013,3731.0,2205.0,1.0
f[Greenland],-0.333,0.985,-1.979,1.259,0.011,0.018,7998.0,2385.0,1.0
f[Grenada],1.17,0.387,0.583,1.842,0.006,0.005,3659.0,3420.0,1.0
f[Guadeloupe],-0.309,0.497,-1.11,0.481,0.007,0.007,5470.0,2609.0,1.0
f[Guam],-0.298,0.727,-1.513,0.834,0.008,0.011,7675.0,3238.0,1.0
f[Guatemala],0.199,0.575,-0.75,1.11,0.007,0.009,6632.0,3141.0,1.0
f[Guernsey],-0.803,0.913,-2.213,0.791,0.014,0.013,4368.0,2553.0,1.0
