LOCATION_TYPE,ADMIN_LEVEL,GAUL_AD0,GAUL_AD1,GAUL_AD2,POINT_ID,UNIQUE_LOCATION,X,Y,YEAR,COUNTRY,REGION
polygon,2,182,709,23113,-999,100834,9.856495,7.954067,1970,Nigeria,Africa
polygon,0,87,-999,-999,-999,3211,-145.471768,-15.475612,1970,French Polynesia,Oceania
polygon,2,1013696,1791,1013522,-999,1013522,105.280708,-4.858707,1970,Indonesia,Asia
polygon,2,182,558,22684,-999,100405,8.854527,7.429718,1970,Nigeria,Africa
polygon,1,115,2278,-999,-999,21019,77.108979,28.646519,1970,India,Asia
polygon,1,1011447,3059,-999,-999,1004098,105.023008,10.087455,1970,Viet Nam,Asia
polygon,1,1011447,1670,-999,-999,1003916,105.752915,9.369809,1970,Viet Nam,Asia
polygon,1,1013696,1126,-999,-999,1016709,106.829966,-6.19261,1970,Indonesia,Asia
polygon,2,1011447,1719,1003287,-999,1003287,105.827366,21.036487,1971,Viet Nam,Asia
polygon,2,182,1748,22648,-999,100369,6.859913,6.089976,1971,Nigeria,Africa
polygon,2,182,304,23016,-999,100737,3.895504,7.409858,1971,Nigeria,Africa
polygon,0,83,-999,-999,-999,3207,177.893439,-17.689834,1971,Fiji,Oceania
polygon,0,200,-999,-999,-999,3324,-66.463766,18.225313,1971,Puerto Rico,Americas
polygon,2,153,1306,37456,-999,115177,101.395178,3.041086,1971,Malaysia,Asia
polygon,1,1011440,1013670,-999,-999,1013670,96.163321,16.959235,1971,Myanmar,Asia
polygon,2,182,709,23113,-999,100834,9.856495,7.954067,1971,Nigeria,Africa
polygon,0,87,-999,-999,-999,3211,-145.471768,-15.475612,1971,French Polynesia,Oceania
polygon,2,1013696,1791,1013522,-999,1013522,105.280708,-4.858707,1971,Indonesia,Asia
polygon,2,182,558,22684,-999,100405,8.854527,7.429718,1971,Nigeria,Africa
polygon,1,1011447,3059,-999,-999,1004098,105.023008,10.087455,1971,Viet Nam,Asia
polygon,0,183,-999,-999,-999,3307,-169.860169,-19.050005,1971,Niue,Oceania
polygon,1,1011447,1670,-999,-999,1003916,105.752915,9.369809,1971,Viet Nam,Asia
polygon,1,1013696,1126,-999,-999,1016709,106.829966,-6.19261,1971,Indonesia,Asia
polygon,2,1011447,1719,1003287,-999,1003287,105.827366,21.036487,1972,Viet Nam,Asia
polygon,2,182,1748,22648,-999,100369,6.859913,6.089976,1972,Nigeria,Africa
polygon,2,182,304,23016,-999,100737,3.895504,7.409858,1972,Nigeria,Africa
polygon,0,83,-999,-999,-999,3207,177.893439,-17.689834,1972,Fiji,Oceania
polygon,0,200,-999,-999,-999,3324,-66.463766,18.225313,1972,Puerto Rico,Americas
polygon,2,153,1306,37456,-999,115177,101.395178,3.041086,1972,Malaysia,Asia
polygon,1,1011440,1013670,-999,-999,1013670,96.163321,16.959235,1972,Myanmar,Asia
polygon,0,87,-999,-999,-999,3211,-145.471768,-15.475612,1972,French Polynesia,Oceania
polygon,2,1013696,1791,1013522,-999,1013522,105.280708,-4.858707,1972,Indonesia,Asia
polygon,1,1011447,3059,-999,-999,1004098,105.023008,10.087455,1972,Viet Nam,Asia
polygon,0,183,-999,-999,-999,3307,-169.860169,-19.050005,1972,Niue,Oceania
polygon,1,1011447,1670,-999,-999,1003916,105.752915,9.369809,1972,Viet Nam,Asia
polygon,1,1013696,1126,-999,-999,1016709,106.829966,-6.19261,1972,Indonesia,Asia
polygon,2,1011447,1719,1003287,-999,1003287,105.827366,21.036487,1973,Viet Nam,Asia
